gene_id,DMSO_24h-1,DMSO_24h-2,DMSO_24h-3,SP2509_24h-1,SP2509_24h-2,SP2509_24h-3
ENSG00000000003,83,88,135,93,138,81
ENSG00000000005,0,0,0,0,0,0
ENSG00000000419,619,780,985,677,848,640
ENSG00000000457,121,137,204,170,209,147
ENSG00000000460,217,217,271,154,247,161
ENSG00000000938,0,0,0,0,1,1
ENSG00000000971,0,0,0,0,0,0
ENSG00000001036,199,209,281,172,194,194
ENSG00000001084,437,434,634,562,692,480
ENSG00000001167,860,893,1193,939,1170,790
ENSG00000001460,103,100,161,124,177,98
ENSG00000001461,767,788,1155,697,919,644
ENSG00000001497,1161,1072,1545,838,1083,793
ENSG00000001561,319,314,463,453,581,393
ENSG00000001617,344,316,454,462,495,419
ENSG00000001626,0,2,1,2,3,2
ENSG00000001629,861,836,1214,1079,1338,934
ENSG00000001630,81,85,118,57,77,64
ENSG00000001631,716,678,1004,762,997,723
ENSG00000002016,166,180,214,214,258,182
ENSG00000002079,13,14,19,13,22,18
ENSG00000002330,153,132,185,119,175,134
ENSG00000002549,1423,1361,1840,1308,1569,1150
ENSG00000002586,0,0,0,1,0,0
ENSG00000002587,95,120,176,214,278,192
ENSG00000002726,1,3,2,2,2,3
ENSG00000002745,0,0,0,0,0,0
ENSG00000002746,0,1,0,0,1,0
ENSG00000002822,423,322,494,360,430,321
ENSG00000002834,2030,1777,2728,1794,2186,1701
ENSG00000002919,231,195,283,189,270,170
ENSG00000002933,0,0,0,0,0,0
ENSG00000003056,706,687,1032,771,950,685
ENSG00000003096,53,50,70,54,47,25
ENSG00000003137,4,4,1,7,4,3
ENSG00000003147,624,610,836,809,1036,746
ENSG00000003249,1000,953,1327,782,873,657
ENSG00000003393,504,472,664,548,682,470
ENSG00000003400,50,42,67,57,71,48
ENSG00000003402,801,743,1153,966,1211,883
ENSG00000003436,3115,3093,4352,3196,4065,2975
ENSG00000003509,207,171,295,185,226,154
ENSG00000003756,1085,1054,1431,1386,1647,1204
ENSG00000003987,18,25,27,24,26,14
ENSG00000003989,474,499,643,388,468,365
ENSG00000004059,1316,1174,1655,1363,1617,1121
ENSG00000004139,335,311,450,375,479,360
ENSG00000004142,3051,2906,3924,2538,3319,2372
ENSG00000004399,11,9,10,14,14,9
ENSG00000004455,2827,2594,3679,2103,2486,1925
ENSG00000004468,2,2,2,0,0,1
ENSG00000004478,5227,5025,6858,3435,4442,3234
ENSG00000004487,1365,1251,1735,1044,1234,914
ENSG00000004534,1222,1165,1656,1313,1489,1125
ENSG00000004660,481,417,549,346,471,350
ENSG00000004700,338,347,465,398,495,314
ENSG00000004766,288,306,373,325,395,238
ENSG00000004776,2,2,2,1,3,2
ENSG00000004777,190,151,217,157,198,178
ENSG00000004779,1088,1139,1512,991,1368,1002
ENSG00000004799,0,0,0,0,1,0
ENSG00000004809,4,2,8,4,3,3
ENSG00000004838,26,26,36,27,26,23
ENSG00000004846,4,2,8,9,15,6
ENSG00000004848,19,8,17,12,10,11
ENSG00000004864,681,672,891,614,776,543
ENSG00000004866,1207,1033,1503,1679,2117,1568
ENSG00000004897,1317,1350,1799,1098,1457,992
ENSG00000004939,1,1,2,2,2,2
ENSG00000004948,0,0,0,0,0,0
ENSG00000004961,410,392,557,372,509,341
ENSG00000004975,649,625,952,883,1011,779
ENSG00000005001,3,1,0,1,0,0
ENSG00000005007,2292,2230,3053,2033,2548,1859
ENSG00000005020,822,887,1240,1145,1349,1023
ENSG00000005022,3282,3531,4861,3736,5027,3414
ENSG00000005059,24,12,21,37,32,20
ENSG00000005073,0,0,1,0,0,1
ENSG00000005075,524,341,599,426,512,394
